time,fusion
2018-01-03 16:00:00,23011kt 9999 WM SCT025 BKN 16 13 q1029 24011KT 210V300 9999 FEW020 SCT029 17/14 Q1029 TEMPO 3000 -RA BR
2018-01-03 18:00:00,24013kt 9999 WM SCT025 BKN 16 13 q1029 27006KT 200V320 9999 SCT030 17/14 Q1028 NOSIG
2018-01-04 01:00:00,23009kt 9999 WM FEW025 M 14 12 q1027 22010KT 9999 FEW023/// 15/12 Q1027
2018-01-04 02:00:00,23011kt 9999 WM MNClD M 14 12 q1026 22010KT 190V250 CAVOK 15/12 Q1026
2018-01-04 07:00:00,23015kt 9999 WM SCT025 M 14 11 q1024 23011KT 190V250 9999 FEW022 15/11 Q1024 NOSIG
2018-01-04 09:00:00,23015kt 9999 WM FEW025 BKN 15 11 q1024 23011KT 190V270 9999 SCT030 15/10 Q1023 NOSIG
2018-01-04 10:00:00,23015kt 9999 WM FEW030 M 15 12 q1023 23012KT 190V270 9999 FEW030 16/11 Q1024 NOSIG
2018-01-04 11:00:00,23015kt 9999 WM FEW030 SCT 15 12 q1022 23013G25KT 200V260 9999 FEW030 16/11 Q1023 NOSIG
2018-01-04 12:00:00,23017kt 9999 WM FEW030 BKN 16 12 q1022 23013G23KT 200V280 9999 FEW030 16/11 Q1023 NOSIG
2018-01-04 13:00:00,23017kt 9999 WM FEW030 SCT 17 12 q1022 23017G28KT 200V280 9999 FEW030 BKN035 16/11 Q1021 NOSIG
2018-01-04 21:00:00,22015kt 9999 WM SCT030 BKN 14 12 q1015 21011G23KT 160V240 9999 SCT025 BKN033 14/12 Q1015 NOSIG
2018-01-04 22:00:00,23017kt 9999 WM BKN030 SCT 14 12 q1014 21012KT 170V230 9999 BKN025 BKN033 14/12 Q1014 TEMPO RA
2018-01-05 02:00:00,28011kt 9999 RA NSCNClD M 12 12 q1010 28008KT 250V310 9000 RA NSC 12/10 Q1010
2018-01-05 03:00:00,28009kt 9999 RA SCT020 BKN 12 11 q1010 32010G20KT 280V360 7000 SCT019/// BKN025/// BKN033/// 11/10 Q1011
2018-01-05 04:00:00,29009kt 9999 RA SCTNClD M 11 11 q1010 28004KT 210V340 9000 RA NSC 10/09 Q1010
2018-01-05 06:00:00,29011kt 9999 RA SCT020 SCT 11 09 q1010 26005KT 220V290 7000 3000E RA SCT020 SCT030 BKN040 10/09 Q1010 TEMPO RA
2018-01-05 09:00:00,28011kt 9999 RA FEW025 SCT 09 07 q1010 27009KT 220V300 6000 -RA FEW020 SCT030 BKN045 10/07 Q1010 TEMPO 4000 RA
2018-01-05 11:00:00,25009kt 9999 DZ SCT030 SCT 09 06 q1010 31012G27KT 250V020 7000 DZ SCT025 SCT040 10/06 Q1011 TEMPO RA
2018-01-05 12:00:00,25009kt 9999 WM SCT040 SCT 09 04 q1010 25005KT 220V310 9999 SCT040 11/05 Q1010 TEMPO RA
2018-01-05 13:00:00,27013kt 9999 WM FEW040 SCT 10 05 q1009 27004KT 220V320 9999 FEW035 SCT045 11/06 Q1009 TEMPO RA
2018-01-05 15:00:00,27011kt 9999 WM SCT025 M 09 03 q1008 30011G24KT 260V010 9999 -RA SCT020TCU SCT030 08/04 Q1009 RESHGR TEMPO RA
2018-01-05 18:00:00,26007kt 9999 WM FEW040 M 07 03 q1007 22005KT 9999 FEW040 06/03 Q1008 TEMPO RA
2018-01-05 19:00:00,26009kt 9999 WM FEW040 M 06 03 q1007 VRB03KT 9999 FEW040 07/02 Q1008 TEMPO RA
2018-01-05 20:00:00,24007kt 9999 WM FEW040 M 06 03 q1007 24006KT 9999 FEW040 06/03 Q1008 TEMPO RA
2018-01-05 22:00:00,23007kt 9999 WM FEW040 M 05 02 q1006 25007KT 200V300 9999 FEW039 07/02 Q1007 TEMPO RA
2018-01-05 23:00:00,23005kt 9999 WM FEW050 M 04 02 q1007 25007KT 9999 FEW045 06/01 Q1007 TEMPO RA
2018-01-06 02:00:00,19005kt 9999 WM FEWNClD M 02 01 q1006 17006KT 9999 NCD 02/01 Q1006
2018-01-06 04:00:00,19005kt 9999 WM BKNNClD BKN 02 02 q1006 20006KT 9999 -UP BKN027/// BKN035/// 04/03 Q1006
2018-01-06 07:00:00,20005kt 9999 RA FEW030 BKN 03 02 q1006 00000KT 9999 RA SCT025 BKN040 03/02 Q1006 NOSIG
2018-01-06 08:00:00,21005kt 9999 WM FEW030 M 01 02 q1006 18004KT 9999 FEW025 02/02 Q1006 TEMPO RA
2018-01-06 10:00:00,32005kt 9999 RA FEW030 M 04 02 q1007 18004KT 9999 -RA FEW030TCU 03/03 Q1007 TEMPO 3000 SHRA
2018-01-06 11:00:00,18005kt 9999 WM FEW030 M 04 04 q1007 14002G13KT 9999 FEW030TCU 04/04 Q1007 TEMPO 3000 SHRA
2018-01-06 12:00:00,23003kt 9999 WM FEW030 M 06 05 q1006 13003KT 100V170 9999 FEW030TCU 07/05 Q1007 TEMPO SHRA
2018-01-06 13:00:00,24005kt 9999 WM FEW010 SCT 07 04 q1007 VRB02KT 9999 FEW035TCU 08/04 Q1006 TEMPO SHRA
2018-01-06 16:00:00,01005kt 9999 WM FEW030 SCT 08 04 q1007 00000KT 9999 FEW030TCU SCT040 08/04 Q1006 NOSIG
2018-01-06 18:00:00,01007kt 9999 WM FEW030 M 05 04 q1008 19001KT 9999 FEW030 06/04 Q1007 NOSIG
2018-01-06 21:00:00,01003kt 9999 WM FEW045 M 04 04 q1009 19002KT 9000 FEW042 04/03 Q1008 RERA TEMPO 3000 RA
2018-01-06 23:00:00,02005kt 9999 FG FEW030 M 04 03 q1009 21003KT 5000 0500E R21/0450D R03/1100U BCFG FEW045 03/03 Q1008 TEMPO 3000 BR
2018-01-07 01:00:00,03003kt 9999 WM FEWNClD M 04 03 q1008 VRB01KT 2100 R03/1400U -UP FEW028/// SCT037/// 03/03 Q1008
2018-01-07 05:00:00,02011kt 9999 WM SCT040 SCT 05 04 q1008 VRB01KT 9999 SCT035 03/03 Q1008 TEMPO RA
2018-01-07 06:00:00,02009kt 9999 WM SCT040 M 05 03 q1008 00000KT 9999 SCT036 03/03 Q1008 NOSIG
2018-01-07 07:00:00,02009kt 9999 RA BKN035 M 06 04 q1008 VRB03G16KT 0800 R21/P2000 R03/0600D BCFG RA BKN032 04/04 Q1008 TEMPO 0350 VV001
2018-01-07 10:00:00,02011kt 9999 WM FEW040 SCT 08 04 q1009 VRB01KT 9999 SCT035 07/05 Q1009 TEMPO SHRA SCT020TCU
2018-01-07 11:00:00,01013kt 9999 WM FEW040 M 08 05 q1009 34004KT 290V030 9999 FEW025 09/06 Q1008 TEMPO SHRA SCT020TCU
2018-01-07 12:00:00,01015kt 9999 WM FEW040 M 09 05 q1008 03011KT 340V070 9999 FEW035TCU 10/05 Q1008 TEMPO SHRA SCT020TCU
2018-01-07 13:00:00,01013kt 9999 WM FEW040 M 09 06 q1008 02014G25KT 320V060 9999 FEW030 10/05 Q1007 TEMPO SHRA SCT020TCU
2018-01-07 14:00:00,00017kt 9999 WM SCT025 M 09 07 q1007 04012G28KT 010V070 9999 SCT030 10/06 Q1007 TEMPO SHRA SCT020TCU
2018-01-07 15:00:00,02009kt 9999 WM SCT025 SCT 09 07 q1007 02012G26KT 340V060 7000 SCT020 SCT030 BKN045 09/07 Q1007 TEMPO SHRA SCT020TCU
2018-01-07 16:00:00,01011kt 9999 WM SCT030 BKN 09 07 q1007 03009KT 330V080 6000 DZ SCT025 BKN035 BKN045 09/07 Q1007 TEMPO SHRA SCT020TCU
2018-01-07 22:00:00,01011kt 9999 DZ SCT015 BKN 10 09 q1008 02006KT 340V060 9999 -DZ SCT011 BKN017 11/10 Q1008 TEMPO BKN012
2018-01-08 01:00:00,33001kt 9999 WM FEW030 M 09 08 q1009 VRB01KT 7000 FEW023/// 09/09 Q1008
2018-01-08 02:00:00,27001kt 9999 WM FEW030 M 09 08 q1009 00000KT 9999 FEW027/// 09/09 Q1008
2018-01-08 04:00:00,17003kt 9999 FG BKN005 M 07 07 q1010 00000KT 9999 1000 NCD 09/07 Q1010
2018-01-09 01:00:00,17009kt 9999 WM MNClD M 07 03 q1010 21015KT CAVOK 09/05 Q1010
2018-01-09 02:00:00,18011kt 9999 WM MNClD M 07 03 q1010 19012KT 160V230 CAVOK 09/05 Q1010
2018-01-09 06:00:00,20021kt 9999 RA SCT030 M 08 06 q1007 18007G17KT 100V230 9999 SCT025 09/04 Q1006 WS R03 NOSIG
2018-01-09 08:00:00,20019kt 9999 WM FEW025 M 09 06 q1006 19013G26KT 120V240 9999 FEW020 09/06 Q1006 WS R03 TEMPO RA
2018-01-09 11:00:00,19015kt 9999 WM SCT025 M 10 08 q1007 20018G30KT 170V230 9999 SCT020 10/07 Q1008 WS R03 TEMPO RA
2018-01-09 14:00:00,26011kt 9999 WM FEW015 M 13 09 q1009 25006KT 150V300 9999 FEW025 14/08 Q1008 NOSIG
2018-01-09 15:00:00,25011kt 9999 WM FEW030 M 13 08 q1009 26008KT 230V300 9999 FEW025 14/08 Q1008 NOSIG
2018-01-09 16:00:00,25007kt 9999 WM FEW030 M 13 08 q1010 27010KT 220V320 9000 -RA FEW025 BKN048 12/09 Q1009 NOSIG
2018-01-09 23:00:00,24009kt 9999 WM FEW050 M 09 07 q1014 24007KT 220V280 9999 SCT035 09/07 Q1014 NOSIG
2018-01-10 02:00:00,21009kt 9999 WM NCDNClD M 07 05 q1014 21007KT 9999 NCD 07/05 Q1013
2018-01-10 03:00:00,20007kt 9999 WM NCDNClD M 07 05 q1014 20003KT 170V230 9999 NCD 07/05 Q1014
2018-01-10 04:00:00,20009kt 9999 WM MNClD M 07 06 q1014 17004KT CAVOK 07/06 Q1013
2018-01-10 07:00:00,19015kt 9999 WM FEW040 M 09 08 q1011 20013KT 160V230 9999 FEW040 10/07 Q1010 NOSIG
2018-01-10 08:00:00,19013kt 9999 RA SCT030 M 09 08 q1010 18011G22KT 150V210 9999 SCT026 10/08 Q1009 TEMPO 3000 SHRA SCT025TCU
2018-01-10 09:00:00,21019kt 9999 RA FEW040 M 10 09 q1009 21018G29KT 170V250 9999 -RA SCT035TCU 11/09 Q1008 TEMPO 3000 SHRA SCT025TCU
2018-01-10 14:00:00,28023kt 9999 WM FEW040 SCT 10 05 q1014 28020G37KT 250V340 9999 -SHRA FEW030CB SCT035 09/05 Q1014 TEMPO 3000 SHRA SCT025TCU
2018-01-10 16:00:00,28017kt 9999 WM SCT040 SCT 10 04 q1016 30012G25KT 250V010 9999 SCT035TCU 11/03 Q1016 TEMPO 3000 SHRA SCT025TCU
2018-01-10 18:00:00,26013kt 9999 WM BKN040 M 09 04 q1017 28010KT 250V350 9999 BKN035TCU SCT045 10/04 Q1018 TEMPO 3000 SHRA SCT025TCU
